n100	n200	n300	n400	n500	n1000	n2000	MAF
0.988732394366197	0.991549295774648	0.988732394366197	0.988732394366197	0.988732394366197	0.988732394366197	0.985915492957746	0.106475966197183
0.992292870905588	0.994219653179191	0.990366088631985	0.992292870905588	0.992292870905588	0.990366088631985	0.990366088631985	0.10740767822736
1	1	1	0.997506234413965	0.997506234413965	0.997506234413965	1	0.108468331670823
0.994301994301994	0.994301994301994	0.994301994301994	0.994301994301994	0.994301994301994	0.994301994301994	0.994301994301994	0.109488492877493
0.995359628770302	0.995359628770302	0.995359628770302	0.995359628770302	0.995359628770302	0.995359628770302	0.995359628770302	0.110526979118329
0.997938144329897	0.997938144329897	0.997938144329897	0.997938144329897	0.997938144329897	0.997938144329897	0.997938144329897	0.111547367010309
0.996815286624204	1	1	1	1	1	1	0.112489124203822
0.998003992015968	0.998003992015968	0.998003992015968	0.998003992015968	0.998003992015968	0.998003992015968	0.998003992015968	0.113382351297405
1	1	1	1	1	1	1	0.1144616625
1	1	1	1	1	1	1	0.115496177464789
0.986928104575163	0.989106753812636	0.989106753812636	0.989106753812636	0.989106753812636	0.989106753812636	0.986928104575163	0.116537348583878
0.995735607675906	0.993603411513859	0.995735607675906	0.995735607675906	0.995735607675906	0.993603411513859	0.993603411513859	0.117542597014925
0.997635933806147	0.997635933806147	1	1	1	1	1	0.118560510638298
0.996240601503759	0.992481203007519	0.992481203007519	0.992481203007519	0.992481203007519	0.996240601503759	0.996240601503759	0.119507733082707
0.997229916897507	0.997229916897507	0.997229916897507	0.997229916897507	0.997229916897507	0.997229916897507	0.997229916897507	0.120431232686981
0.997555012224939	0.997555012224939	0.997555012224939	0.997555012224939	0.997555012224939	0.997555012224939	0.997555012224939	0.121461427872861
0.997448979591837	0.997448979591837	0.997448979591837	0.997448979591837	1	1	1	0.122423142857143
0.993265993265993	0.993265993265993	0.993265993265993	0.993265993265993	0.993265993265993	0.993265993265993	0.993265993265993	0.123559696969697
0.994550408719346	0.994550408719346	0.994550408719346	0.997275204359673	0.997275204359673	0.994550408719346	0.997275204359673	0.124553098092643
0.987096774193548	0.990322580645161	0.990322580645161	0.990322580645161	0.990322580645161	0.990322580645161	0.990322580645161	0.125534612903226
0.991189427312775	0.991189427312775	0.991189427312775	0.995594713656388	0.995594713656388	0.995594713656388	0.995594713656388	0.126484343612335
0.994736842105263	0.994736842105263	0.997368421052632	0.997368421052632	0.997368421052632	0.997368421052632	1	0.127438863157895
0.988826815642458	0.988826815642458	0.988826815642458	0.991620111731844	0.988826815642458	0.991620111731844	0.991620111731844	0.128414840782123
0.992555831265509	0.992555831265509	0.995037220843672	0.995037220843672	0.995037220843672	0.995037220843672	0.995037220843672	0.129459392059553
0.992021276595745	0.992021276595745	0.992021276595745	0.992021276595745	0.992021276595745	0.992021276595745	0.992021276595745	0.130485781914894
0.997524752475248	0.997524752475248	0.997524752475248	0.997524752475248	0.997524752475248	0.997524752475248	0.997524752475248	0.131553616336634
1	1	1	1	1	1	1	0.132543730407524
1	1	1	1	1	1	1	0.13350637716263
0.997032640949555	0.997032640949555	0.997032640949555	0.997032640949555	0.997032640949555	0.997032640949555	0.997032640949555	0.13435806231454
0.994029850746269	1	1	1	1	1	1	0.135416444776119
1	1	1	1	1	1	1	0.136451744262295
0.991489361702128	0.991489361702128	0.991489361702128	0.991489361702128	0.991489361702128	0.991489361702128	0.991489361702128	0.137471931914894
0.9921875	1	1	1	1	1	1	0.13857315234375
0.996951219512195	0.99390243902439	0.99390243902439	0.996951219512195	0.996951219512195	0.996951219512195	0.996951219512195	0.139570862804878
1	1	1	1	1	1	1	0.140442474789916
