MAF	n100	n200	n300	n400	n500	n1000	n2000
0.0605287567335244	0.99330229226361	0.993147564469914	0.992766475644699	0.992418338108882	0.992418338108882	0.99189111747851	0.991780802292264
0.0615190619873817	0.988476340694006	0.990249211356467	0.989913249211356	0.98983596214511	0.989965299684543	0.989876971608833	0.989834384858044
0.0625377685436893	0.989766990291262	0.990467961165049	0.990392233009709	0.990510679611651	0.99038640776699	0.990357281553398	0.990229126213592
0.063468298125	0.987684375	0.988165625	0.9876296875	0.987446875	0.9873171875	0.9872765625	0.9873140625
0.0644109777777778	0.988983896940419	0.989800322061192	0.990391304347826	0.990338164251208	0.990557165861514	0.990378421900161	0.990479871175523
0.065556383463035	0.986593385214008	0.986394941634241	0.986503891050584	0.986274319066148	0.98606420233463	0.986536964980545	0.986739299610895
0.0664764888594165	0.990989389920424	0.990529177718833	0.99036074270557	0.989709549071618	0.989590185676393	0.989640583554377	0.990149867374005
0.0675250647308782	0.991730878186969	0.991831444759207	0.991665722379603	0.99143342776204	0.991232294617564	0.991324362606232	0.991565155807365
0.0685455453936348	0.992286432160804	0.990762144053601	0.991180904522613	0.991185929648241	0.990857621440536	0.99078391959799	0.990943048576214
0.0695121390675241	0.99087459807074	0.990676848874598	0.991368167202572	0.991691318327974	0.991921221864952	0.991262057877814	0.991385852090032
0.0704388944751381	0.986574585635359	0.986731123388582	0.986333333333333	0.986920810313076	0.98719152854512	0.986817679558011	0.986942909760589
0.0714496468817204	0.993490322580645	0.993651612903226	0.992847311827957	0.992509677419355	0.992498924731183	0.991952688172043	0.991825806451613
0.0725033518026565	0.98580834914611	0.986140417457306	0.985872865275142	0.986001897533207	0.985889943074004	0.986030360531309	0.986075901328273
0.0734947053784861	0.993268924302789	0.99397609561753	0.994440239043825	0.994201195219124	0.994123505976096	0.993657370517928	0.99302390438247
0.0745559789168279	0.989996131528046	0.990137330754352	0.990013539651837	0.989926499032882	0.989802707930368	0.98921083172147	0.989526112185687
0.0755293390495868	0.992398760330578	0.991673553719008	0.991545454545455	0.99098347107438	0.991543388429752	0.991247933884298	0.991326446280992
0.0765561882352941	0.991323529411765	0.990235294117647	0.990174509803922	0.989807843137255	0.99001568627451	0.990578431372549	0.990688235294118
0.0774094072580645	0.983623655913978	0.98330376344086	0.983056451612903	0.982387096774194	0.982825268817204	0.983333333333333	0.983518817204301
