MAF	n100	n200	n300	n400	n500	n1000	n2000	n3000
0.118571076595745	0.995872340425532	0.995025531914894	0.995087234042553	0.994991489361702	0.994827659574468	0.994806382978723	0.99456170212766	0.994568085106383
0.119507169047619	0.99362380952381	0.993245238095238	0.993671428571429	0.993490476190476	0.993464285714286	0.993502380952381	0.993880952380952	0.993883333333333
0.120403395537525	0.995271805273834	0.993876267748479	0.994685598377282	0.995073022312373	0.99484584178499	0.994827586206897	0.995101419878296	0.99506490872211
0.121439223849372	0.993728033472803	0.991987447698745	0.992169456066946	0.992213389121339	0.991981171548117	0.99207949790795	0.992299163179916	0.992244769874477
0.12247382	0.998017777777778	0.996373333333333	0.996206666666667	0.9965	0.996273333333333	0.996473333333333	0.996448888888889	0.99634
0.123528675675676	0.997436293436293	0.996998069498069	0.997055984555985	0.996998069498069	0.996882239382239	0.996716216216216	0.996648648648649	0.99661583011583
0.124519504545455	0.996954545454545	0.996497727272727	0.996695454545454	0.996725	0.996759090909091	0.996681818181818	0.996620454545455	0.996490909090909
0.125585741935484	0.995594470046083	0.994774193548387	0.995117511520737	0.994935483870968	0.994566820276498	0.994594470046083	0.994760368663595	0.994654377880184
0.126460640117994	0.997368731563422	0.997159292035398	0.997141592920354	0.996710914454277	0.996566371681416	0.996315634218289	0.996206489675516	0.996115044247788
0.127421858942065	0.996589420654912	0.996272040302267	0.996229219143577	0.996370277078086	0.996128463476071	0.996272040302267	0.996377833753149	0.996267002518892
0.128464904076739	0.997429256594724	0.997302158273381	0.997352517985612	0.997119904076739	0.997127098321343	0.996964028776978	0.997011990407674	0.997127098321343
0.129463522727273	0.995643939393939	0.994853535353535	0.994825757575758	0.994924242424242	0.994800505050505	0.994742424242424	0.994825757575758	0.994719696969697
0.130491442352941	0.997404705882353	0.996847058823529	0.996712941176471	0.996590588235294	0.996392941176471	0.996303529411765	0.996461176470588	0.99652
0.131530984334204	0.996587467362924	0.995953002610966	0.996070496083551	0.996344647519582	0.996229765013055	0.996308093994778	0.996274151436031	0.996174934725849
0.13255724893617	0.994355319148936	0.994051063829787	0.994193617021277	0.994108510638298	0.99398085106383	0.994082978723404	0.994225531914894	0.994172340425532
0.133494326923077	0.994752747252747	0.994461538461539	0.994269230769231	0.993873626373626	0.99364010989011	0.993626373626374	0.993453296703297	0.993478021978022
0.134440825986079	0.997445475638051	0.997097447795824	0.99715777262181	0.997060324825986	0.99692807424594	0.996837587006961	0.996886310904872	0.996990719257541
0.135440853598015	0.996856079404467	0.996498759305211	0.996647642679901	0.996722084367246	0.99685111662531	0.997012406947891	0.997084367245658	0.997047146401985
0.136495972772277	0.997450495049505	0.996537128712871	0.996752475247525	0.996457920792079	0.996514851485149	0.996339108910891	0.996443069306931	0.996373762376238
0.137523110192837	0.99666391184573	0.996258953168044	0.996603305785124	0.99631129476584	0.996123966942149	0.996027548209366	0.996206611570248	0.996231404958678
0.138525186157518	0.997205250596659	0.996245823389021	0.996498806682578	0.996396181384248	0.996073985680191	0.996124105011933	0.996291169451074	0.996112171837709
0.139550004683841	0.997906323185012	0.997372365339578	0.997355971896955	0.997573770491803	0.997508196721312	0.99724355971897	0.99732318501171	0.997274004683841
0.140489146551724	0.99414367816092	0.99408908045977	0.994083333333333	0.994163793103448	0.993916666666667	0.99407183908046	0.994304597701149	0.994198275862069
0.1414591875	0.996851190476191	0.995657738095238	0.996139880952381	0.996366071428571	0.996556547619048	0.996520833333333	0.996681547619048	0.996684523809524
0.142426534653465	0.994126237623762	0.994720297029703	0.994764851485148	0.994836633663366	0.994611386138614	0.994903465346535	0.994811881188119	0.994935643564356
0.143492804232804	0.989526455026455	0.989486772486773	0.989100529100529	0.98992328042328	0.989687830687831	0.990526455026455	0.989804232804233	0.990068783068783
0.144545463888889	0.995547222222222	0.995080555555556	0.995258333333333	0.995469444444444	0.995477777777778	0.995836111111111	0.995494444444444	0.995558333333333
0.14550298488665	0.997108312342569	0.99695717884131	0.996722921914358	0.996690176322418	0.996599496221662	0.99636523929471	0.996375314861461	0.996536523929471
0.146569375342466	0.997301369863014	0.997134246575342	0.996827397260274	0.996378082191781	0.996331506849315	0.996638356164384	0.996646575342466	0.996704109589041
0.147495653594771	0.993130718954248	0.993287581699346	0.99321568627451	0.993212418300654	0.993346405228758	0.993503267973856	0.993627450980392	0.993588235294118
0.148446696485623	0.995894568690096	0.995722044728435	0.996076677316294	0.995952076677316	0.99623642172524	0.99597124600639	0.996012779552716	0.996194888178914
0.149444479452055	0.996328767123288	0.995928767123288	0.996142465753425	0.996213698630137	0.996271232876712	0.996331506849315	0.996397260273973	0.996290410958904
0.1504943125	0.99710625	0.996103125	0.996490625	0.996340625	0.996065625	0.995646875	0.99589375	0.9958625
0.151442182464455	0.998144549763033	0.997341232227488	0.997270142180095	0.997291469194313	0.99731990521327	0.997113744075829	0.997289099526066	0.997165876777251
0.152543987460815	0.996244514106583	0.995438871473354	0.996031347962382	0.99553605015674	0.995354231974922	0.995025078369906	0.995141065830721	0.995200626959248
0.153532925110132	0.998266519823789	0.997850220264317	0.998046255506608	0.997918502202643	0.997944933920705	0.997814977973568	0.997887665198238	0.997997797356828
0.154474255451713	0.996688473520249	0.99607476635514	0.996554517133956	0.996314641744548	0.996230529595016	0.996018691588785	0.995775700934579	0.995968847352025
0.155431285326087	0.991127717391304	0.990774456521739	0.990796195652174	0.990850543478261	0.990820652173913	0.990635869565217	0.990834239130435	0.990845108695652
0.156455120743034	0.993919504643963	0.993572755417957	0.993860681114551	0.993792569659443	0.993597523219814	0.99333746130031	0.993625386996904	0.993640866873065
0.157444895348837	0.99768023255814	0.997438953488372	0.997549418604651	0.997354651162791	0.997206395348837	0.997372093023256	0.997386627906977	0.99734011627907
0.158508656804734	0.994381656804734	0.994319526627219	0.994778106508876	0.994520710059172	0.994485207100592	0.994201183431953	0.994257396449704	0.994263313609467
0.159493674193548	0.994496774193548	0.9933	0.993664516129032	0.993267741935484	0.993509677419355	0.993251612903226	0.993412903225806	0.993393548387097
0.160534927058824	0.993607058823529	0.993701176470588	0.993675294117647	0.993905882352941	0.993908235294118	0.993884705882353	0.993922352941176	0.994032941176471
0.161484494736842	0.994782456140351	0.994568421052632	0.995263157894737	0.995105263157895	0.9952	0.994740350877193	0.994964912280702	0.994891228070175
0.162384109693878	0.996862244897959	0.996841836734694	0.996811224489796	0.996566326530612	0.996783163265306	0.99655612244898	0.996790816326531	0.99675
0.163465807894737	0.994984210526316	0.994344736842105	0.994507894736842	0.994447368421053	0.994444736842105	0.994513157894737	0.994642105263158	0.994689473684211
0.164468425149701	0.994637724550898	0.99440119760479	0.994305389221557	0.993898203592814	0.99388622754491	0.994017964071856	0.994122754491018	0.994152694610778
0.165531068571429	0.995651428571429	0.995568571428571	0.995911428571429	0.99568	0.99574	0.995774285714286	0.996114285714286	0.996285714285714
0.166551831381733	0.992615925058548	0.992395784543326	0.992810304449649	0.992536299765808	0.992686182669789	0.992744730679157	0.992826697892272	0.992859484777518
0.167587267477204	0.987927051671733	0.986975683890578	0.987121580547112	0.986984802431611	0.987039513677812	0.986869300911854	0.986826747720365	0.986808510638298
0.168533851955307	0.991402234636871	0.991284916201117	0.99145530726257	0.99141061452514	0.991142458100559	0.991192737430168	0.991600558659218	0.991608938547486
0.169515265432099	0.993132716049383	0.992842592592593	0.992873456790124	0.992472222222222	0.992222222222222	0.99208950617284	0.992685185185185	0.992645061728395
0.170472225543478	0.997586956521739	0.997304347826087	0.996858695652174	0.99691847826087	0.996570652173913	0.996540760869565	0.996423913043478	0.996326086956522
0.171469508982036	0.996491017964072	0.996637724550898	0.996218562874251	0.995925149700599	0.995646706586826	0.995853293413174	0.995895209580838	0.995853293413174
0.172511359621451	0.992296529968454	0.991495268138801	0.991684542586751	0.991498422712934	0.991277602523659	0.991482649842271	0.991785488958991	0.991791798107255
0.173511751412429	0.98183615819209	0.984364406779661	0.983409604519774	0.985426553672316	0.983666666666667	0.985564971751412	0.987850282485876	0.987528248587571
0.174571133757962	0.994891719745223	0.994802547770701	0.994671974522293	0.994716560509554	0.994070063694268	0.994726114649682	0.994933121019108	0.995003184713376
0.175580119863014	0.996592465753425	0.996797945205479	0.997044520547945	0.996835616438356	0.99672602739726	0.996900684931507	0.996739726027397	0.996616438356164
0.176547384057971	0.998028985507246	0.997148550724638	0.997264492753623	0.997333333333333	0.99731884057971	0.997413043478261	0.997623188405797	0.997648550724638
0.177458433526012	0.996656069364162	0.996005780346821	0.996086705202312	0.996066473988439	0.995933526011561	0.995956647398844	0.996320809248555	0.996450867052023
0.178426179012346	0.994148148148148	0.994453703703704	0.994191358024691	0.99387037037037	0.993731481481481	0.994003086419753	0.994117283950617	0.994160493827161
0.179480022535211	0.993785915492958	0.9938	0.993591549295775	0.993670422535211	0.993428169014084	0.993540845070423	0.993329577464789	0.993461971830986
0.180553471299094	0.997498489425982	0.997519637462236	0.997416918429003	0.99743504531722	0.997283987915408	0.997359516616314	0.99726586102719	0.997302114803625
0.181567791304348	0.993663768115942	0.993460869565217	0.993597101449275	0.993402898550725	0.99343768115942	0.993449275362319	0.993484057971014	0.99355652173913
0.182556594458438	0.996476070528967	0.996352644836272	0.996405541561713	0.996549118387909	0.996541561712846	0.996571788413098	0.996518891687657	0.996657430730479
0.183532811715481	0.996050209205021	0.995230125523013	0.995029288702929	0.994953974895397	0.994497907949791	0.994861924686193	0.994949790794979	0.995205020920502
0.184437832446809	0.993989361702128	0.992667553191489	0.993005319148936	0.992992021276596	0.992135638297872	0.992382978723404	0.992595744680851	0.99301329787234
0.185452036764706	0.997305147058824	0.996606617647059	0.997022058823529	0.997033088235294	0.996676470588235	0.996639705882353	0.996378676470588	0.996533088235294
0.186513304477612	0.997677611940298	0.99705671641791	0.997122388059701	0.996928358208955	0.996737313432836	0.996782089552239	0.996626865671642	0.99669552238806
0.187512309392265	0.995729281767956	0.995290055248619	0.995458563535912	0.995491712707182	0.995450276243094	0.995544198895028	0.995823204419889	0.995936464088398
0.188553709876543	0.997268518518518	0.996262345679012	0.996549382716049	0.996206790123457	0.996243827160494	0.996182098765432	0.996373456790123	0.996324074074074
0.189608920489297	0.99402752293578	0.994449541284404	0.994464831804281	0.994284403669725	0.994235474006116	0.994284403669725	0.99434250764526	0.994360856269113
0.19050146124031	0.994282945736434	0.993759689922481	0.99381007751938	0.99356976744186	0.993492248062016	0.993356589147287	0.993271317829457	0.993306201550388
0.191420647272727	0.994436363636364	0.994556363636364	0.995170909090909	0.995327272727273	0.995116363636364	0.995458181818182	0.995512727272727	0.995374545454545
0.1924908625	0.99743125	0.997275	0.997459375	0.997253125	0.99724375	0.99704375	0.997015625	0.997021875
0.193496317919075	0.996884393063584	0.996442196531792	0.996653179190751	0.996384393063584	0.996124277456647	0.996043352601156	0.995956647398844	0.996023121387283
0.194521543396226	0.99428679245283	0.993728301886792	0.993784905660377	0.993539622641509	0.993381132075472	0.993433962264151	0.993433962264151	0.99328679245283
0.195573288590604	0.99748322147651	0.996275167785235	0.99646644295302	0.996402684563758	0.995808724832215	0.995634228187919	0.995620805369128	0.995614093959732
0.196552469230769	0.996246153846154	0.993584615384615	0.99425	0.994580769230769	0.993230769230769	0.992892307692308	0.992723076923077	0.993011538461538
0.197496023622047	0.995484251968504	0.994027559055118	0.99444094488189	0.994582677165354	0.994094488188976	0.993456692913386	0.993535433070866	0.993767716535433
0.198414209219858	0.9965	0.995890070921986	0.995968085106383	0.996021276595745	0.996148936170213	0.995957446808511	0.996085106382979	0.99604609929078
0.199457498168498	0.996684981684982	0.996476190476191	0.997043956043956	0.99667032967033	0.996545787545788	0.996688644688645	0.997014652014652	0.997058608058608
0.200526714285714	0.997619047619048	0.997156084656085	0.997455026455026	0.997267195767196	0.997304232804233	0.997621693121693	0.99768253968254	0.997621693121693
0.201497854545455	0.996516363636364	0.996138181818182	0.996098181818182	0.995810909090909	0.995752727272727	0.995567272727273	0.995585454545455	0.995756363636364
0.20254959752322	0.997142414860681	0.997461300309598	0.997510835913313	0.997386996904025	0.997312693498452	0.996786377708978	0.996851393188855	0.997077399380805
0.203511628676471	0.996702205882353	0.996632352941176	0.996231617647059	0.996117647058824	0.996095588235294	0.996194852941176	0.996323529411765	0.996419117647059
0.20448429296875	0.99815625	0.99736328125	0.99765234375	0.997	0.99684765625	0.996984375	0.9971171875	0.9970859375
0.205430046920821	0.998272727272727	0.997947214076246	0.998049853372434	0.99775073313783	0.997838709677419	0.997642228739003	0.997607038123167	0.997604105571848
0.206443460674157	0.99477808988764	0.994379213483146	0.994351123595506	0.994311797752809	0.994424157303371	0.994202247191011	0.994410112359551	0.994351123595506
0.207567808441558	0.997938311688312	0.997597402597403	0.997581168831169	0.997581168831169	0.997613636363636	0.997694805194805	0.997795454545455	0.997772727272727
0.20851670625	0.99765625	0.9969125	0.997209375	0.99709375	0.996975	0.99700625	0.99703125	0.997040625
0.209566784023669	0.997221893491124	0.99658875739645	0.996905325443787	0.996594674556213	0.996698224852071	0.99658875739645	0.996600591715976	0.996532544378698
0.210575006472492	0.993728155339806	0.991928802588997	0.992142394822007	0.992440129449838	0.992699029126214	0.992601941747573	0.992996763754045	0.993165048543689
0.211500136546185	0.996899598393574	0.995100401606426	0.995497991967871	0.996116465863454	0.996321285140562	0.995823293172691	0.996236947791165	0.996200803212851
0.212419181818182	0.998039393939394	0.998127272727273	0.997918181818182	0.997730303030303	0.997681818181818	0.997621212121212	0.997730303030303	0.997712121212121
0.213455881868132	0.992997252747253	0.992167582417582	0.992398351648352	0.992013736263736	0.991978021978022	0.991681318681319	0.991851648351648	0.991708791208791
0.214477220588235	0.997191176470588	0.996305147058824	0.996742647058824	0.996720588235294	0.996452205882353	0.996533088235294	0.9965625	0.9965
0.215504	0.997217741935484	0.996637096774194	0.996862903225806	0.996806451612903	0.996758064516129	0.996967741935484	0.996653225806452	0.996616935483871
0.216491889795918	0.982236734693878	0.981604081632653	0.982342857142857	0.982204081632653	0.982073469387755	0.982171428571429	0.982465306122449	0.982448979591837
0.217592054263566	0.997550387596899	0.997434108527132	0.997554263565891	0.997348837209302	0.997232558139535	0.996848837209302	0.99687984496124	0.996806201550388
0.218472865671642	0.997701492537313	0.997681592039801	0.997696517412935	0.997741293532338	0.997597014925373	0.997393034825871	0.997452736318408	0.99747263681592
0.219444782608696	0.993284584980237	0.993130434782609	0.993581027667984	0.993462450592885	0.993339920948617	0.992695652173913	0.992932806324111	0.992905138339921
0.220459829365079	0.994146825396825	0.993865079365079	0.993531746031746	0.993039682539683	0.992865079365079	0.992988095238095	0.993071428571429	0.993027777777778
0.221516422764228	0.993463414634146	0.992817073170732	0.993105691056911	0.993044715447154	0.99310162601626	0.993191056910569	0.993186991869919	0.993211382113821
0.222517012345679	0.992485596707819	0.991526748971193	0.991893004115226	0.991938271604938	0.991962962962963	0.992156378600823	0.992366255144033	0.992407407407407
0.22350679661017	0.998186440677966	0.998076271186441	0.997675141242938	0.997677966101695	0.997649717514124	0.997550847457627	0.997624293785311	0.997771186440678
0.224563847222222	0.994461111111111	0.994191666666667	0.994286111111111	0.99435	0.994341666666667	0.994361111111111	0.994525	0.994480555555556
0.225508660550459	0.993981651376147	0.993142201834862	0.993119266055046	0.993307339449541	0.993215596330275	0.993545871559633	0.993701834862385	0.993688073394495
0.226420577464789	0.997672535211268	0.997320422535211	0.99743661971831	0.997475352112676	0.997419014084507	0.997387323943662	0.997492957746479	0.997415492957746
0.227479751937985	0.994193798449612	0.993217054263566	0.993368217054264	0.993329457364341	0.993174418604651	0.993062015503876	0.993058139534884	0.993027131782946
0.228461177777778	0.991371428571429	0.990736507936508	0.990993650793651	0.990946031746032	0.990888888888889	0.990742857142857	0.990584126984127	0.99048253968254
0.229514524305556	0.996878472222222	0.996701388888889	0.996958333333333	0.996899305555556	0.997114583333333	0.997440972222222	0.997510416666667	0.99734375
0.230499693430657	0.997897810218978	0.997649635036496	0.997953771289538	0.997917274939173	0.997924574209246	0.997883211678832	0.997931873479319	0.997917274939173
0.231531676229508	0.99369262295082	0.993704918032787	0.99352868852459	0.993303278688525	0.993241803278688	0.993024590163934	0.992954918032787	0.992831967213115
0.232551297777778	0.988582222222222	0.989057777777778	0.988982222222222	0.988777777777778	0.988751111111111	0.989	0.989293333333333	0.98932
0.233458511945392	0.997372013651877	0.997337883959044	0.997249146757679	0.997201365187713	0.997139931740614	0.99662457337884	0.99661433447099	0.996648464163823
0.234428667785235	0.998275167785235	0.99794966442953	0.998171140939597	0.998043624161074	0.998187919463087	0.998161073825503	0.998181208053691	0.998194630872483
0.235505240963855	0.998072289156626	0.997859437751004	0.998028112449799	0.997819277108434	0.997726907630522	0.997690763052209	0.997734939759036	0.997670682730924
0.236509695205479	0.998342465753425	0.998253424657534	0.998061643835616	0.997972602739726	0.997667808219178	0.997482876712329	0.997595890410959	0.997681506849315
0.237522848605578	0.992123505976096	0.991621513944223	0.992187250996016	0.991924302788845	0.991836653386454	0.991752988047809	0.991776892430279	0.991709163346614
0.238599818867925	0.997535849056604	0.997615094339623	0.997849056603774	0.997641509433962	0.997679245283019	0.997637735849057	0.997660377358491	0.997550943396226
0.239484941176471	0.998229946524064	0.997786096256684	0.997941176470588	0.997652406417112	0.997395721925134	0.997197860962567	0.997160427807487	0.997010695187166
0.240442748	0.998484	0.998052	0.997852	0.9976	0.99746	0.997496	0.997548	0.997436
0.241488571428571	0.993523809523809	0.992510822510822	0.992727272727273	0.992458874458874	0.992320346320346	0.992290043290043	0.9924329004329	0.992367965367965
0.242534557251908	0.997927480916031	0.997507633587786	0.997614503816794	0.997526717557252	0.997591603053435	0.997625954198473	0.997748091603053	0.997774809160305
0.243492132420091	0.997337899543379	0.996840182648402	0.997082191780822	0.996981735159817	0.99696803652968	0.996767123287671	0.996954337899543	0.996958904109589
