MAF	n100	n200	n300	n400	n500	n1000	n2000	n3000	n4000	n5000	n6000	n7000
0.289478924242424	0.995643939393939	0.99592803030303	0.995401515151515	0.995356060606061	0.995075757575758	0.994659090909091	0.994643939393939	0.994666666666667	0.994662878787879	0.994628787878788	0.994685606060606	0.994731060606061
0.290488101886792	0.98997358490566	0.989958490566038	0.989592452830189	0.989618867924528	0.989464150943396	0.988988679245283	0.989211320754717	0.98911320754717	0.989079245283019	0.989135849056604	0.989105660377358	0.98911320754717
0.291476252747253	0.995732600732601	0.995267399267399	0.995479853479853	0.995307692307692	0.995472527472527	0.994783882783883	0.994901098901099	0.994937728937729	0.994875457875458	0.994849816849817	0.994871794871795	0.994901098901099
0.292509141791045	0.993817164179104	0.993537313432836	0.993880597014925	0.99409328358209	0.994194029850746	0.993585820895522	0.993675373134328	0.99364552238806	0.99360447761194	0.993559701492537	0.993555970149254	0.993518656716418
0.293498377697842	0.995003597122302	0.994658273381295	0.994280575539568	0.994359712230216	0.99460071942446	0.994636690647482	0.994712230215827	0.994705035971223	0.994787769784173	0.994758992805755	0.994769784172662	0.994758992805755
0.294508175732218	0.986610878661088	0.986351464435146	0.9861589958159	0.986251046025105	0.986489539748954	0.986389121338912	0.986598326359833	0.986481171548117	0.986485355648536	0.986514644351464	0.986497907949791	0.986489539748954
0.295465792035398	0.993030973451327	0.993402654867257	0.99362389380531	0.994	0.993969026548673	0.994212389380531	0.994393805309735	0.99433185840708	0.994353982300885	0.994278761061947	0.99429203539823	0.994420353982301
0.296516322344322	0.995611721611722	0.995014652014652	0.994487179487179	0.994487179487179	0.994641025641026	0.994838827838828	0.994608058608059	0.994505494505495	0.994483516483517	0.994545787545788	0.994593406593407	0.994644688644689
0.297540732142857	0.9961	0.996385714285714	0.996582142857143	0.996253571428571	0.996303571428571	0.996242857142857	0.996392857142857	0.996314285714286	0.996310714285714	0.996296428571429	0.996296428571429	0.996275
0.298522230508475	0.993728813559322	0.994328813559322	0.994508474576271	0.994708474576271	0.994786440677966	0.9948	0.994850847457627	0.994796610169492	0.994661016949153	0.994671186440678	0.994762711864407	0.994735593220339
0.299497827838828	0.985978021978022	0.985893772893773	0.986615384615385	0.986516483516483	0.986263736263736	0.986245421245421	0.986040293040293	0.985974358974359	0.98610989010989	0.986062271062271	0.986091575091575	0.986157509157509
0.300518626198083	0.991936102236422	0.992	0.992127795527157	0.992060702875399	0.991968051118211	0.992357827476038	0.99217571884984	0.992038338658147	0.992063897763578	0.992099041533546	0.992070287539936	0.99208945686901
0.301513805194805	0.995922077922078	0.996061688311688	0.996061688311688	0.995766233766234	0.995594155844156	0.995298701298701	0.995159090909091	0.995097402597403	0.995103896103896	0.995146103896104	0.995172077922078	0.995220779220779
0.30248397029703	0.994544554455446	0.993970297029703	0.99423102310231	0.994491749174917	0.994613861386139	0.994584158415842	0.994732673267327	0.994561056105611	0.994551155115512	0.994577557755776	0.994564356435644	0.994511551155115
0.30341888	0.995656	0.995128	0.994984	0.995064	0.995364	0.995136	0.9952	0.995164	0.995236	0.995284	0.99522	0.995244
0.304486473451327	0.985725663716814	0.985756637168142	0.986057522123894	0.985929203539823	0.985641592920354	0.985849557522124	0.985849557522124	0.985862831858407	0.985907079646018	0.985862831858407	0.985969026548673	0.986035398230088
0.305508707920792	0.989237623762376	0.988663366336634	0.989138613861386	0.989351485148515	0.989113861386139	0.989138613861386	0.989217821782178	0.989029702970297	0.988990099009901	0.988891089108911	0.988866336633663	0.988851485148515
0.306447013513513	0.990022522522523	0.990594594594595	0.989927927927928	0.989945945945946	0.990175675675676	0.990518018018018	0.990540540540541	0.990540540540541	0.990527027027027	0.990481981981982	0.9905	0.990536036036036
0.307528320987654	0.986880658436214	0.987069958847737	0.987049382716049	0.986917695473251	0.986855967078189	0.98677366255144	0.986555555555556	0.986625514403292	0.986625514403292	0.986650205761317	0.986658436213992	0.986695473251029
0.308529940340909	0.990940340909091	0.990607954545455	0.990721590909091	0.990642045454545	0.990639204545455	0.990633522727273	0.990565340909091	0.990386363636364	0.990284090909091	0.990332386363636	0.990309659090909	0.990383522727273
0.309492052805281	0.99560396039604	0.995600660066007	0.995511551155115	0.995617161716172	0.995452145214521	0.995379537953795	0.99536303630363	0.995280528052805	0.99519801980198	0.995178217821782	0.995168316831683	0.995155115511551
0.310472555932203	0.992972881355932	0.99273220338983	0.992674576271186	0.992796610169492	0.992945762711864	0.992894915254237	0.992786440677966	0.992684745762712	0.992627118644068	0.99264406779661	0.992650847457627	0.992745762711864
0.31148030952381	0.990099206349206	0.990690476190476	0.989964285714286	0.990154761904762	0.990047619047619	0.99027380952381	0.990253968253968	0.990214285714286	0.99025	0.99015873015873	0.990202380952381	0.990206349206349
0.312539862660944	0.986124463519313	0.986652360515021	0.986974248927039	0.986871244635193	0.987227467811159	0.987163090128755	0.98631330472103	0.986236051502146	0.986403433476395	0.986600858369099	0.986725321888412	0.986656652360515
0.313496857627119	0.989176271186441	0.989369491525424	0.989630508474576	0.989040677966102	0.989396610169492	0.989352542372881	0.987820338983051	0.987518644067797	0.987972881355932	0.988054237288136	0.98831186440678	0.9882
0.314481071197411	0.99515210355987	0.995035598705502	0.995216828478964	0.995233009708738	0.99515857605178	0.995278317152104	0.995090614886731	0.995006472491909	0.995071197411003	0.995029126213592	0.995058252427184	0.995045307443366
0.315496516393443	0.993331967213115	0.993241803278688	0.993045081967213	0.993045081967213	0.993389344262295	0.993413934426229	0.993553278688525	0.99358606557377	0.993565573770492	0.993581967213115	0.993598360655738	0.993618852459016
0.316526708154506	0.993884120171674	0.994412017167382	0.994609442060086	0.994510729613734	0.994600858369099	0.994309012875537	0.994437768240343	0.994386266094421	0.994412017167382	0.994416309012876	0.994390557939914	0.994399141630901
0.317489923913043	0.990391304347826	0.990833333333333	0.991213768115942	0.991394927536232	0.99161231884058	0.991297101449275	0.991202898550725	0.991094202898551	0.991036231884058	0.990981884057971	0.991	0.991003623188406
0.318443887445887	0.994926406926407	0.995523809523809	0.995450216450216	0.995497835497836	0.995367965367965	0.995320346320346	0.995103896103896	0.995047619047619	0.995099567099567	0.995021645021645	0.995056277056277	0.995103896103896
0.319539117924528	0.990575471698113	0.989702830188679	0.990037735849057	0.990018867924528	0.989768867924528	0.98977358490566	0.989882075471698	0.98972641509434	0.989801886792453	0.989783018867925	0.989735849056604	0.989745283018868
0.320493737288136	0.992177966101695	0.991838983050848	0.991885593220339	0.991673728813559	0.991758474576271	0.991966101694915	0.991860169491525	0.991805084745763	0.991800847457627	0.99178813559322	0.991766949152542	0.99178813559322
0.321506236641221	0.991648854961832	0.991839694656489	0.99193893129771	0.992125954198473	0.992148854961832	0.992141221374046	0.992217557251908	0.992003816793893	0.992026717557252	0.991954198473282	0.991919847328244	0.991908396946565
0.322504434599156	0.993886075949367	0.993789029535865	0.993915611814346	0.993822784810127	0.993805907172996	0.993704641350211	0.993742616033755	0.993662447257384	0.993700421940928	0.993666666666667	0.993713080168776	0.993713080168776
0.323528909871245	0.995725321888412	0.995394849785408	0.995476394849785	0.995484978540773	0.995244635193133	0.995038626609442	0.994965665236051	0.994918454935622	0.994901287553648	0.994952789699571	0.994858369098712	0.994909871244635
0.324481152263374	0.993452674897119	0.993144032921811	0.993510288065844	0.993049382716049	0.993012345679012	0.993316872427983	0.993477366255144	0.993539094650206	0.993662551440329	0.993687242798354	0.993679012345679	0.993662551440329
0.325497384615385	0.995761538461538	0.995988461538462	0.996211538461538	0.995984615384615	0.995888461538462	0.995303846153846	0.995038461538462	0.994965384615385	0.995011538461538	0.994992307692308	0.994988461538462	0.994957692307692
0.326525473880597	0.995085820895522	0.995667910447761	0.995429104477612	0.995283582089552	0.995287313432836	0.995111940298507	0.995097014925373	0.994884328358209	0.994910447761194	0.994880597014925	0.994891791044776	0.994932835820896
0.327434462406015	0.994447368421053	0.995127819548872	0.995342105263158	0.995327067669173	0.995375939849624	0.995266917293233	0.995161654135338	0.994962406015038	0.994947368421053	0.994894736842105	0.994887218045113	0.994864661654135
0.328459381188119	0.99490099009901	0.994727722772277	0.993985148514852	0.993821782178218	0.993881188118812	0.993980198019802	0.993886138613861	0.993811881188119	0.993866336633663	0.993970297029703	0.993920792079208	0.993945544554455
0.32947013559322	0.987940677966102	0.988690677966102	0.988694915254237	0.98885593220339	0.989059322033898	0.989101694915254	0.988762711864407	0.98864406779661	0.988622881355932	0.988716101694915	0.988775423728814	0.988733050847458
0.33051101754386	0.994357894736842	0.994014035087719	0.994628070175439	0.994301754385965	0.994361403508772	0.994614035087719	0.993933333333333	0.993901754385965	0.994014035087719	0.994056140350877	0.994098245614035	0.994129824561404
0.331503567164179	0.995412935323383	0.99555223880597	0.995437810945274	0.995422885572139	0.99526368159204	0.994905472636816	0.994960199004975	0.994865671641791	0.994845771144279	0.994870646766169	0.994935323383085	0.994880597014925
0.332553787878788	0.995298701298701	0.99538961038961	0.995103896103896	0.995095238095238	0.995199134199134	0.995181818181818	0.995463203463203	0.995354978354978	0.995402597402597	0.9954329004329	0.995437229437229	0.995380952380952
0.333486318681319	0.996135531135531	0.995824175824176	0.99574358974359	0.99578021978022	0.99585347985348	0.995904761904762	0.995809523809524	0.995765567765568	0.995787545787546	0.995750915750916	0.995710622710623	0.995739926739927
0.334484276094276	0.989427609427609	0.988969696969697	0.989242424242424	0.989053872053872	0.989195286195286	0.989107744107744	0.989141414141414	0.989070707070707	0.989063973063973	0.989117845117845	0.989127946127946	0.989138047138047
0.335484989510489	0.991461538461539	0.991356643356643	0.99134965034965	0.991461538461539	0.991548951048951	0.99129020979021	0.99158041958042	0.991461538461539	0.991412587412587	0.991437062937063	0.991423076923077	0.991409090909091
0.336500490842491	0.996399267399267	0.996417582417582	0.996139194139194	0.995974358974359	0.996003663003663	0.995798534798535	0.995978021978022	0.996007326007326	0.996021978021978	0.995956043956044	0.995952380952381	0.996032967032967
0.337519316455696	0.986270042194093	0.985476793248945	0.985907172995781	0.986451476793249	0.986721518987342	0.986763713080169	0.986670886075949	0.986616033755274	0.986594936708861	0.986603375527426	0.986527426160338	0.986561181434599
0.33852318852459	0.994319672131148	0.99372131147541	0.993844262295082	0.993786885245902	0.993938524590164	0.993844262295082	0.993725409836066	0.993672131147541	0.993635245901639	0.993737704918033	0.993676229508197	0.993663934426229
0.339473790540541	0.991074324324324	0.990902027027027	0.991006756756757	0.991081081081081	0.991432432432432	0.991375	0.991243243243243	0.991253378378378	0.991260135135135	0.991277027027027	0.991307432432432	0.991304054054054
0.340546458823529	0.995129411764706	0.995890196078431	0.995803921568627	0.995643137254902	0.995913725490196	0.99598431372549	0.995592156862745	0.995494117647059	0.995435294117647	0.995462745098039	0.995466666666667	0.995490196078431
0.341506773584906	0.992071698113208	0.992071698113208	0.992215094339623	0.992056603773585	0.992147169811321	0.992184905660377	0.992162264150943	0.992192452830189	0.992116981132075	0.992147169811321	0.992124528301887	0.992154716981132
0.342471871428571	0.991445714285714	0.99146	0.991094285714286	0.99104	0.991074285714286	0.990688571428571	0.990414285714286	0.990302857142857	0.990328571428571	0.990374285714286	0.990302857142857	0.990314285714286
0.34350321875	0.99401953125	0.99425	0.99403125	0.99407421875	0.9944453125	0.99489453125	0.99473828125	0.9946015625	0.994640625	0.99462109375	0.99459765625	0.994640625
0.344521042016807	0.994516806722689	0.994016806722689	0.993932773109244	0.994172268907563	0.994420168067227	0.994613445378151	0.994617647058823	0.99446218487395	0.994516806722689	0.994609243697479	0.994642857142857	0.99468487394958
0.345496317391304	0.996826086956522	0.996395652173913	0.996639130434783	0.996478260869565	0.996408695652174	0.996039130434783	0.996	0.996008695652174	0.996021739130435	0.996069565217391	0.995991304347826	0.996004347826087
0.346518164502164	0.997004329004329	0.997034632034632	0.996528138528138	0.996415584415584	0.996242424242424	0.996051948051948	0.996034632034632	0.996025974025974	0.995861471861472	0.995987012987013	0.995887445887446	0.995896103896104
0.347492300925926	0.995782407407407	0.995305555555556	0.995277777777778	0.995402777777778	0.995291666666667	0.994925925925926	0.994902777777778	0.994851851851852	0.994731481481481	0.994828703703704	0.994828703703704	0.994810185185185
